"Work_Ref__c","Description__c","State__c","Constituency__c","Implementing_Agency__c","MP_Name__c","Recommended_Amount__c","Exposure__c","Audit_ROI__c","Priority__c","Confidence_Band__c","Signal_Families__c","Work_Type__c","Recommendation_Date__c","Work_Status__c","Evidence_Summary__c","Recommended_Next_Step__c","Suggested_Actions__c","Early_Warning_Level__c","Early_Warning_Reason__c","Compliance_Findings__c","Escalation_Tier__c","Target_Review_Date__c","Investigation_Status__c","Officer_Finding__c","Not_A_Fraud_Finding__c"
"MP3017474-W16543","Multi purpose hall (Duble storey) interal and external water supply sanitation, fire fighting system, sports equipment sumbersibile pump etc in the Indore Stadium as new village Ward no 3 Gandhi Nagar (Banraha Gayghat) Sanction amount of the project is 247.90 Laks against which 100.5995 has been rel","Uttar Pradesh","BASTI","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","Shri Harish Dwivedi (17th Lok Sabha)","14730050.00","3207977.00","14794013.00","0.9223","HIGH","4","Building - sahebganj construction - temple","2023-09-05","Open","Peer amount: Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9).; Peer duration: Open for longer than 92% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.4x longer than the typical completed work of this type in Uttar Pradesh (412 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3017474-W16544","Multi purpose hall (Duble storey) interal and external water supply sanitation, fire fighting system, sports equipment sumbersibile pump etc in the Indore Stadium as new village ward no 5 Pandit Deen Dayal Nagar (Karamdade Harraiya) Sanction amount of the project is 247.90 Laks against which 100.599","Uttar Pradesh","BASTI","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","Shri Harish Dwivedi (17th Lok Sabha)","14730050.00","3207977.00","14794013.00","0.9223","HIGH","4","Building - sahebganj construction - temple","2023-09-05","Open","Peer amount: Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9).; Peer duration: Open for longer than 92% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.4x longer than the typical completed work of this type in Uttar Pradesh (412 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3042459-W184631","Construction of Terrarium at Park at Semmozhi Poonga, Central Zone in Ward No.67 of Coimbatore Corporation","Tamil Nadu","COIMBATORE","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","20000000.00","4414903.00","14788496.00","0.8374","HIGH","3","Sitting bench - rcc benches - RCC","2025-03-20","Open","Peer amount: Recommended amount at the 100th percentile of 1445 comparable works (robust z 29.6).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 65%). Before/after - 2024: 122 works at a median of Rs 909,000 -> 2025: 83 works at a median of Rs 1,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042496-W238655","Supply and installation of 60 Highmast light in many areas of Barabanki constituency","Uttar Pradesh","BARABANKI(SC)","Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA)","TANUJ PUNIA","12600000.00","4147483.00","14591755.00","0.8796","HIGH","3","Highmast light - installation highmast - mask light","2025-09-27","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 127.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 171 works at a median of Rs 19,926 -> 2025: 22 works at a median of Rs 1,716,646. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017455-W51814","Construction of Community Hall at Walltax road no.244 & 246 in dn 57, Zone - 5.","Tamil Nadu","CHENNAI CENTRAL","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran (17th Lok Sabha)","15000000.00","3116982.00","14586964.00","0.9360","HIGH","4","Community hall - construction community - hall village","2023-11-22","Open","Peer amount: Recommended amount at the 99th percentile of 598 comparable works (robust z 29.1).; Peer duration: Open for longer than 91% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Tamil Nadu (529 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042499-W216110","Installation of High Mast lights in various villages of Shivpur and Ajgara","Uttar Pradesh","CHANDAULI","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","VIRENDRA SINGH","10763500.00","4143968.00","14579390.00","0.8796","HIGH","3","Mast light - high mast - mini mast","2025-07-08","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 109.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 574 works at a median of Rs 26,629 -> 2024: 204 works at a median of Rs 239,380. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019225-W229414","works recomonded in letter no 217 for Sikhar block","Uttar Pradesh","MIRZAPUR","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","11576000.00","4080215.00","14355091.00","0.8796","HIGH","3","Construction paver - paving - village","2025-08-26","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 117.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019643-W40701","Construction of 3 class rooms (3+3) stair case and Toilet in Panchayat Union Primary School at Manali in dn-21, Zone-2","Tamil Nadu","CHENNAI NORTH","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy (17th Lok Sabha)","18460000.00","4075104.00","14210657.00","0.8718","HIGH","3","Class room - construction class - school","2023-10-26","Open","Peer amount: Recommended amount at the 100th percentile of 152 comparable works (robust z 11.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.3x longer than the typical completed work of this type in Tamil Nadu (736 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042496-W258118","supply and installation of 61 Highmast lights in many areas of Barabanki Lok Sabha","Uttar Pradesh","BARABANKI(SC)","Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA)","TANUJ PUNIA","12206893.00","4018139.00","14136695.00","0.8796","HIGH","3","Highmast light - installation highmast - mask light","2026-01-08","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 123.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 171 works at a median of Rs 19,926 -> 2025: 22 works at a median of Rs 1,716,646. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019259-W152844","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore thirty four lakh two thousand six hundred fifty six","Punjab","Sitting Rajya Sabha","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney","13402656.00","4119918.00","13695125.00","0.8310","HIGH","3","Taluk balance - commuinity - executive agency","2024-11-16","Open","Peer amount: Recommended amount at the 98th percentile of 55 comparable works (robust z 21.8).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2025: 149 works at a median of Rs 306,800 -> 2026: 92 works at a median of Rs 490,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.3x longer than the typical completed work of this type in Punjab (426 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3017332-W282964","Installation of100 LED Highmast Lights for Rural and urban areas as per endosed List.","Uttar Pradesh","Sitting Rajya Sabha","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar","24960000.00","3879291.00","13648198.00","0.8796","HIGH","3","Highmast light - installation highmast - mask light","2026-05-22","Open","Peer amount: Recommended amount at the 100th percentile of 4191 comparable works (robust z 191.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017329-W283439","supply and installation of led semi high mast light at 83 different places in district shahjahanpur","Uttar Pradesh","Sitting Rajya Sabha","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Javed Ali Khan","20716800.00","3851528.00","13550522.00","0.8796","HIGH","3","Mast light - high mast - mini mast","2026-05-24","Open","Peer amount: Recommended amount at the 100th percentile of 4191 comparable works (robust z 159.1).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017255-W218146","Development of chatrasal stadium in Panna","Madhya Pradesh","Sitting Rajya Sabha","PANNA(DISTRICT COLLECTOR PANNA_IDA)","Dr. L. Murugan","20000000.00","3831074.00","13478561.00","0.8796","HIGH","3","Sitting bench - rcc benches - RCC","2025-07-16","Open","Peer amount: Recommended amount at the 99th percentile of 628 comparable works (robust z 43.8).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 36 works at a median of Rs 1,000,000 -> 2025: 5 works at a median of Rs 2,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042530-W156951","High Mast Light 12.5 Mtr pole at different locations of 17by Samaj Kalyan Nigam (UP Sidko) Sultanpur Prayagraj","Uttar Pradesh","SULTANPUR","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","10098000.00","3730564.00","13124945.00","0.8796","HIGH","3","High mast - mast light - LED","2024-12-04","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 102.2).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.2x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042530-W156952","High Mast Light 9.5 Mtr pole at different locations of 45by Agency Kshetriya PRabandhak Laghu Udyog Nigam Prayagraj","Uttar Pradesh","SULTANPUR","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","10080000.00","3723917.00","13101559.00","0.8796","HIGH","3","High mast - mast light - LED","2024-12-04","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 102.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.2x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019200-W252126","Uska brijmanganj marg se gangadhar pur hote hua baghi gav 1400 meetar pic road kary","Uttar Pradesh","DOMARIYAGANJ","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","11500000.00","3686303.00","12969224.00","0.8796","HIGH","3","CC road - gram - construction","2025-12-05","Open","Peer amount: Recommended amount at the 100th percentile of 7203 comparable works (robust z 22.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017253-W143819","Construction of Artificial Football turf, Municipal Stadium Ground, Aluva, Aluva Municipality","Kerala","Sitting Rajya Sabha","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Smt. Jebi Mather Hisham","15380000.00","3671850.00","12918376.00","0.8796","HIGH","3","Sitting bench - rcc benches - RCC","2024-09-26","Open","Peer amount: Recommended amount at the 99th percentile of 628 comparable works (robust z 33.5).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 235 works at a median of Rs 249,000 -> 2026: 20 works at a median of Rs 530,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","","District Monitoring","2026-06-09","New","","TRUE"
"MP3042530-W145618","As per list attached of 44 places of installation of high mast led light - 6 LED for different blocks and villages.","Uttar Pradesh","SULTANPUR","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","9856000.00","3641197.00","12810530.00","0.8796","HIGH","3","High mast - mast light - LED","2024-10-05","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 99.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 1.4x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042530-W156949","High Mast Light 9.5 Mtr pole at different locations of 44 by Agency Kshetriya PRabandhak Laghu Udyog Nigam Prayagraj","Uttar Pradesh","SULTANPUR","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","9856000.00","3641197.00","12810530.00","0.8796","HIGH","3","High mast - mast light - LED","2024-12-04","Open","Peer amount: Recommended amount at the 100th percentile of 6132 comparable works (robust z 687.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.1x longer than the typical completed work of this type in Uttar Pradesh (252 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019258-W259140","Construction work on cremation ground in Ram Bagh, Deep Nagar, Jalandhar Cantt.","Punjab","Sitting Rajya Sabha","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal","9998224.00","3531171.00","12423435.00","0.8796","HIGH","3","Construction cremation - cremation ground - shed","2026-01-14","Open","Peer amount: Recommended amount at the 100th percentile of 403 comparable works (robust z 131.5).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 242 works at a median of Rs 247,500 -> 2026: 26 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3018373-W97341","Supply, Installation, Testing & Commissioning (SITC) for Sanitary Napkin Making Machine at various Self-Help Groups (SHGs)/Anganwadies in Chatra Parliamentary Constituency","Jharkhand","CHATRA","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Sunil Kumar Singh","27500000.00","3529419.00","12374761.00","0.8765","HIGH","3","Installation cctv - cctv cameras - cctv camera","2024-02-05","Open","Peer amount: Recommended amount at the 100th percentile of 39 comparable works (robust z 223.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 97%). Before/after - 2024: 7 works at a median of Rs 6,000,000 -> 2025: 278 works at a median of Rs 150,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 2.0x longer than the typical completed work of this type in Jharkhand (412 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042348-W201278","please release two crore rupees for the construction of Sarai for the attendents of poor patients at GMC and Associated hospitals at Rajouri","Jammu And Kashmir","ANANTNAG","RAJOURI(Deputy Commissioner Rajouri_IDA)","MIAN ALTAF AHMAD","20000000.00","3485876.00","12264076.00","0.8796","HIGH","3","Installation cctv - cctv cameras - cctv camera","2025-05-20","Open","Peer amount: Recommended amount at the 100th percentile of 317 comparable works (robust z 53.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 5 works at a median of Rs 331,500 -> 2025: 14 works at a median of Rs 857,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042538-W153601","Development of Naihati State General Hospital.","West Bengal","BARRACKPUR","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","PARTHA BHOWMICK","20000000.00","3467383.00","12199016.00","0.8796","HIGH","3","Installation cctv - cctv cameras - cctv camera","2024-11-21","Open","Peer amount: Recommended amount at the 99th percentile of 46 comparable works (robust z 12.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in West Bengal (318 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3042538-W153603","Development of Bhatpara State General Hospital.","West Bengal","BARRACKPUR","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","PARTHA BHOWMICK","20000000.00","3467383.00","12199016.00","0.8796","HIGH","3","Installation cctv - cctv cameras - cctv camera","2024-11-21","Open","Peer amount: Recommended amount at the 99th percentile of 46 comparable works (robust z 12.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in West Bengal (318 days).","","District Monitoring","2026-06-09","New","","TRUE"
"MP3019201-W92574","79 No Semi high mast light","Uttar Pradesh","HARDOI (SC)","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Jai Prakash(17th Lok Sabha)","9375000.00","3463566.00","12185587.00","0.8796","HIGH","3","High mast - mast light - LED","2024-01-31","Open","Peer amount: Recommended amount at the 100th percentile of 6132 comparable works (robust z 653.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Request a progress update from the implementing agency | Verify supporting documents and field evidence","HIGH","HIGH - open 3.4x longer than the typical completed work of this type in Uttar Pradesh (252 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
