"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3018356-W100681","MP3018356-W100681","Peer amount","amount","Recommended amount at the 98th percentile of 42 comparable works (robust z 6.6)."
"MP3018356-W100681","MP3018356-W100681","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100681","MP3018356-W100681","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100681","MP3018356-W100681","Near-duplicate work","duplication","A work in the same state and archetype is 99.8% semantically similar (MP3018356-W100682). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018356-W100682","MP3018356-W100682","Peer amount","amount","Recommended amount at the 98th percentile of 42 comparable works (robust z 6.6)."
"MP3018356-W100682","MP3018356-W100682","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100682","MP3018356-W100682","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100682","MP3018356-W100682","Near-duplicate work","duplication","A work in the same state and archetype is 99.8% semantically similar (MP3018356-W100681). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018356-W100672","MP3018356-W100672","Peer amount","amount","Recommended amount at the 100th percentile of 112 comparable works (robust z 10.1)."
"MP3018356-W100672","MP3018356-W100672","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100672","MP3018356-W100672","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100672","MP3018356-W100672","Near-duplicate work","duplication","A work in the same state and archetype is 99.1% semantically similar (MP3018356-W100673). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018356-W100673","MP3018356-W100673","Peer amount","amount","Recommended amount at the 100th percentile of 112 comparable works (robust z 10.1)."
"MP3018356-W100673","MP3018356-W100673","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100673","MP3018356-W100673","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100673","MP3018356-W100673","Near-duplicate work","duplication","A work in the same state and archetype is 99.1% semantically similar (MP3018356-W100672). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018356-W100713","MP3018356-W100713","Peer amount","amount","Recommended amount at the 98th percentile of 42 comparable works (robust z 6.6)."
"MP3018356-W100713","MP3018356-W100713","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100713","MP3018356-W100713","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100713","MP3018356-W100713","Near-duplicate work","duplication","A work in the same state and archetype is 97.4% semantically similar (MP3018356-W100681). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018356-W100715","MP3018356-W100715","Peer amount","amount","Recommended amount at the 95th percentile of 147 comparable works (robust z 5.3)."
"MP3018356-W100715","MP3018356-W100715","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100715","MP3018356-W100715","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017308-W258718","MP3017308-W258718","Peer amount","amount","Recommended amount at the 99th percentile of 122 comparable works (robust z 11.8)."
"MP3017308-W258718","MP3017308-W258718","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017308-W258718","MP3017308-W258718","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W211751","MP3017455-W211751","Peer amount","amount","Recommended amount at the 99th percentile of 675 comparable works (robust z 21.6)."
"MP3017455-W211751","MP3017455-W211751","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W211751","MP3017455-W211751","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W51810","MP3017455-W51810","Peer amount","amount","Recommended amount at the 99th percentile of 675 comparable works (robust z 21.6)."
"MP3017455-W51810","MP3017455-W51810","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W51810","MP3017455-W51810","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W184578","MP3018396-W184578","Peer amount","amount","Recommended amount at the 98th percentile of 147 comparable works (robust z 11.9)."
"MP3018396-W184578","MP3018396-W184578","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W184578","MP3018396-W184578","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3023122-W36302","MP3023122-W36302","Peer amount","amount","Recommended amount at the 100th percentile of 954 comparable works (robust z 70.1)."
"MP3023122-W36302","MP3023122-W36302","Peer duration","duration","Open for longer than 98% of comparable works still in progress."
"MP3023122-W36302","MP3023122-W36302","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 242 works at a median of Rs 247,500 -> 2026: 26 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023122-W36302","MP3023122-W36302","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W152256","MP3019643-W152256","Peer amount","amount","Recommended amount at the 99th percentile of 152 comparable works (robust z 5.2)."
"MP3019643-W152256","MP3019643-W152256","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W152256","MP3019643-W152256","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042330-W215505","MP3042330-W215505","Peer amount","amount","Recommended amount at the 94th percentile of 45 comparable works (robust z 4.9)."
"MP3042330-W215505","MP3042330-W215505","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042330-W215505","MP3042330-W215505","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042330-W276201","MP3042330-W276201","Peer amount","amount","Recommended amount at the 94th percentile of 45 comparable works (robust z 4.9)."
"MP3042330-W276201","MP3042330-W276201","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042330-W276201","MP3042330-W276201","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W123923","MP3018396-W123923","Peer amount","amount","Recommended amount at the 99th percentile of 598 comparable works (robust z 19.7)."
"MP3018396-W123923","MP3018396-W123923","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W123923","MP3018396-W123923","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042486-W268853","MP3042486-W268853","Peer amount","amount","Recommended amount at the 100th percentile of 925 comparable works (robust z 64795.1)."
"MP3042486-W268853","MP3042486-W268853","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 878 works at a median of Rs 21,109 -> 2024: 557 works at a median of Rs 177,842. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042486-W268853","MP3042486-W268853","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W164830","MP3019643-W164830","Peer amount","amount","Recommended amount at the 95th percentile of 31 comparable works (robust z 9.5)."
"MP3019643-W164830","MP3019643-W164830","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W164830","MP3019643-W164830","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W213686","MP3019643-W213686","Peer amount","amount","Recommended amount at the 95th percentile of 31 comparable works (robust z 9.5)."
"MP3019643-W213686","MP3019643-W213686","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W213686","MP3019643-W213686","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W254851","MP3019643-W254851","Peer amount","amount","Recommended amount at the 95th percentile of 31 comparable works (robust z 9.5)."
"MP3019643-W254851","MP3019643-W254851","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W254851","MP3019643-W254851","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W241204","MP3017338-W241204","Peer amount","amount","Recommended amount at the 96th percentile of 319 comparable works (robust z 24.3)."
"MP3017338-W241204","MP3017338-W241204","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W241204","MP3017338-W241204","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019201-W92578","MP3019201-W92578","Peer amount","amount","Recommended amount at the 100th percentile of 6132 comparable works (robust z 429.1)."
"MP3019201-W92578","MP3019201-W92578","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019201-W92578","MP3019201-W92578","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019200-W252116","MP3019200-W252116","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 12.1)."
"MP3019200-W252116","MP3019200-W252116","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019200-W252116","MP3019200-W252116","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W208469","MP3017338-W208469","Peer amount","amount","Recommended amount at the 100th percentile of 113 comparable works (robust z 673.6)."
"MP3017338-W208469","MP3017338-W208469","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W208469","MP3017338-W208469","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017307-W160096","MP3017307-W160096","Peer amount","amount","Recommended amount at the 100th percentile of 679 comparable works (robust z 25.0)."
"MP3017307-W160096","MP3017307-W160096","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 56%). Before/after - 2025: 124 works at a median of Rs 700,000 -> 2026: 6 works at a median of Rs 1,090,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017307-W160096","MP3017307-W160096","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017457-W148981","MP3017457-W148981","Peer amount","amount","Recommended amount at the 100th percentile of 679 comparable works (robust z 25.0)."
"MP3017457-W148981","MP3017457-W148981","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 56%). Before/after - 2025: 124 works at a median of Rs 700,000 -> 2026: 6 works at a median of Rs 1,090,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017457-W148981","MP3017457-W148981","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100670","MP3018356-W100670","Peer amount","amount","Recommended amount at the 98th percentile of 112 comparable works (robust z 9.4)."
"MP3018356-W100670","MP3018356-W100670","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100670","MP3018356-W100670","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100670","MP3018356-W100670","Near-duplicate work","duplication","A work in the same state and archetype is 99.6% semantically similar (MP3018356-W100671). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3017324-W244468","MP3017324-W244468","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 13.2)."
"MP3017324-W244468","MP3017324-W244468","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 262 works at a median of Rs 287,000 -> 2025: 69 works at a median of Rs 1,180,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017324-W244468","MP3017324-W244468","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100671","MP3018356-W100671","Peer amount","amount","Recommended amount at the 97th percentile of 112 comparable works (robust z 9.4)."
"MP3018356-W100671","MP3018356-W100671","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W100671","MP3018356-W100671","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W100671","MP3018356-W100671","Near-duplicate work","duplication","A work in the same state and archetype is 99.6% semantically similar (MP3018356-W100670). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3042485-W177536","MP3042485-W177536","Peer amount","amount","Recommended amount at the 99th percentile of 147 comparable works (robust z 13.9)."
"MP3042485-W177536","MP3042485-W177536","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 41 works at a median of Rs 390,000 -> 2025: 5 works at a median of Rs 5,372,892. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042485-W177536","MP3042485-W177536","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042485-W194520","MP3042485-W194520","Peer amount","amount","Recommended amount at the 100th percentile of 53 comparable works (robust z 14851.1)."
"MP3042485-W194520","MP3042485-W194520","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 41 works at a median of Rs 390,000 -> 2025: 5 works at a median of Rs 5,372,892. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042485-W194520","MP3042485-W194520","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017324-W190032","MP3017324-W190032","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 13.5)."
"MP3017324-W190032","MP3017324-W190032","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 262 works at a median of Rs 287,000 -> 2025: 69 works at a median of Rs 1,180,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017324-W190032","MP3017324-W190032","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018400-W517","MP3018400-W517","Peer amount","amount","Recommended amount at the 97th percentile of 1103 comparable works (robust z 27.3)."
"MP3018400-W517","MP3018400-W517","Peer duration","duration","Open for longer than 99% of comparable works still in progress."
"MP3018400-W517","MP3018400-W517","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018400-W517","MP3018400-W517","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3018400-W518). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3018400-W518","MP3018400-W518","Peer amount","amount","Recommended amount at the 97th percentile of 1103 comparable works (robust z 27.3)."
"MP3018400-W518","MP3018400-W518","Peer duration","duration","Open for longer than 99% of comparable works still in progress."
"MP3018400-W518","MP3018400-W518","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018400-W518","MP3018400-W518","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3018400-W517). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3019200-W252111","MP3019200-W252111","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 11.4)."
"MP3019200-W252111","MP3019200-W252111","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019200-W252111","MP3019200-W252111","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019200-W252124","MP3019200-W252124","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 11.4)."
"MP3019200-W252124","MP3019200-W252124","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019200-W252124","MP3019200-W252124","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019201-W225862","MP3019201-W225862","Peer amount","amount","Recommended amount at the 99th percentile of 13232 comparable works (robust z 61.0)."
"MP3019201-W225862","MP3019201-W225862","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019201-W225862","MP3019201-W225862","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018937-W89998","MP3018937-W89998","Peer amount","amount","Recommended amount at the 100th percentile of 251 comparable works (robust z 13.4)."
"MP3018937-W89998","MP3018937-W89998","Peer duration","duration","Open for longer than 94% of comparable works still in progress."
"MP3018937-W89998","MP3018937-W89998","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 86%). Before/after - 2023: 12 works at a median of Rs 1,854,022 -> 2024: 5 works at a median of Rs 268,509. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018937-W89998","MP3018937-W89998","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017212-W30227","MP3017212-W30227","Peer amount","amount","Recommended amount at the 100th percentile of 67 comparable works (robust z 29.3)."
"MP3017212-W30227","MP3017212-W30227","Peer duration","duration","Open for longer than 100% of comparable works still in progress."
"MP3017212-W30227","MP3017212-W30227","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017212-W30227","MP3017212-W30227","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019225-W229420","MP3019225-W229420","Peer amount","amount","Recommended amount at the 99th percentile of 13232 comparable works (robust z 71.8)."
"MP3019225-W229420","MP3019225-W229420","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019225-W229420","MP3019225-W229420","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018948-W25973","MP3018948-W25973","Peer amount","amount","Recommended amount at the 100th percentile of 112 comparable works (robust z 30.4)."
"MP3018948-W25973","MP3018948-W25973","Peer duration","duration","Open for longer than 93% of comparable works still in progress."
"MP3018948-W25973","MP3018948-W25973","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W227627","MP3017338-W227627","Peer amount","amount","Recommended amount at the 95th percentile of 317 comparable works (robust z 17.8)."
"MP3017338-W227627","MP3017338-W227627","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W227627","MP3017338-W227627","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3020002-W163773","MP3020002-W163773","Peer amount","amount","Recommended amount at the 100th percentile of 163 comparable works (robust z 33.2)."
"MP3020002-W163773","MP3020002-W163773","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 78%). Before/after - 2023: 12 works at a median of Rs 428,098 -> 2025: 10 works at a median of Rs 762,192. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3020002-W163773","MP3020002-W163773","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042816-W161482","MP3042816-W161482","Peer amount","amount","Recommended amount at the 99th percentile of 13232 comparable works (robust z 57.1)."
"MP3042816-W161482","MP3042816-W161482","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 86%). Before/after - 2024: 177 works at a median of Rs 627,534 -> 2025: 125 works at a median of Rs 1,170,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042816-W161482","MP3042816-W161482","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018400-W519","MP3018400-W519","Peer amount","amount","Recommended amount at the 100th percentile of 818 comparable works (robust z 45.4)."
"MP3018400-W519","MP3018400-W519","Peer duration","duration","Open for longer than 99% of comparable works still in progress."
"MP3018400-W519","MP3018400-W519","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019235-W189521","MP3019235-W189521","Peer amount","amount","Recommended amount at the 100th percentile of 2819 comparable works (robust z 39.4)."
"MP3019235-W189521","MP3019235-W189521","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 85%). Before/after - 2024: 60 works at a median of Rs 420,000 -> 2025: 44 works at a median of Rs 775,461. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019235-W189521","MP3019235-W189521","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3043718-W262885","MP3043718-W262885","Peer amount","amount","Recommended amount at the 100th percentile of 2348 comparable works (robust z 179.1)."
"MP3043718-W262885","MP3043718-W262885","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 61%). Before/after - 2024: 60 works at a median of Rs 310,500 -> 2025: 36 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3043718-W262885","MP3043718-W262885","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042330-W180157","MP3042330-W180157","Peer amount","amount","Recommended amount at the 100th percentile of 252 comparable works (robust z 49.1)."
"MP3042330-W180157","MP3042330-W180157","Peer duration","duration","Open for longer than 99% of comparable works still in progress."
"MP3042330-W180157","MP3042330-W180157","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 262 works at a median of Rs 249,853 -> 2024: 108 works at a median of Rs 499,448. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
